


                       Node(122)                     Node(123)                     Node(124)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
    347.178   -161.199   .2816   20.000     -219.438   .2497   20.000     -199.320   .2589   20.000
    347.351   -161.354   .2815   20.000     -219.771   .2495   20.000     -199.621   .2588   20.000
    347.524   -161.510   .2814   20.000     -220.103   .2494   20.000     -199.921   .2587   20.000
    347.697   -161.666   .2813   20.000     -220.433   .2492   20.000     -200.219   .2585   20.000
    347.870   -161.823   .2812   20.000     -220.761   .2491   20.000     -200.514   .2584   20.000
    348.043   -161.981   .2811   20.000     -221.088   .2489   20.000     -200.808   .2583   20.000
    348.273   -162.191   .2810   20.000     -221.513   .2487   20.000     -201.193   .2581   20.000
    348.504   -162.403   .2809   20.000     -221.940   .2485   20.000     -201.576   .2579   20.000
    348.734   -162.615   .2807   20.000     -222.363   .2483   20.000     -201.956   .2577   20.000
    348.965   -162.828   .2806   20.000     -222.784   .2481   20.000     -202.332   .2576   20.000
    349.195   -163.042   .2805   20.000     -223.200   .2479   20.000     -202.704   .2574   20.000
    349.426   -163.256   .2803   20.000     -223.612   .2478   20.000     -203.074   .2572   20.000
    349.656   -163.471   .2802   20.000     -224.021   .2476   20.000     -203.440   .2570   20.000
    349.887   -163.686   .2800   20.000     -224.429   .2474   20.000     -203.802   .2569   20.000
    350.117   -163.901   .2799   20.000     -224.836   .2472   20.000     -204.161   .2567   20.000
    350.348   -164.117   .2798   20.000     -225.239   .2470   20.000     -204.518   .2565   20.000
    350.578   -164.333   .2796   20.000     -225.639   .2468   20.000     -204.872   .2564   20.000
    350.809   -164.550   .2795   20.000     -226.035   .2466   20.000     -205.223   .2562   20.000
    351.039   -164.767   .2794   20.000     -226.427   .2465   20.000     -205.570   .2561   20.000
    351.270   -164.984   .2792   20.000     -226.818   .2463   20.000     -205.914   .2559   20.000
